CustomerID,Recency,Frequency,Monetary
12346,326,1,77183.6
12747,3,103,4196.010000000001
12748,1,4595,33719.730000000316
12749,4,199,4090.880000000001
12820,4,59,942.3399999999999
12821,215,6,92.72
12822,71,46,948.8799999999999
12823,75,5,1759.5
12824,60,25,397.11999999999995
12826,3,91,1474.7199999999993
12827,6,25,430.15
12828,3,56,1018.7100000000003
12829,337,11,293.0
12830,38,38,6814.640000000001
12831,263,9,215.05
12832,33,27,383.03000000000003
12833,146,24,417.37999999999994
12834,283,18,312.38
12836,60,175,2612.8599999999988
12837,174,12,134.1
12838,34,123,683.1299999999994
12839,3,314,5591.420000000003
12840,144,113,2726.769999999999
12841,5,420,4022.3499999999967
12842,71,34,1118.99
12843,66,103,1702.26
12844,30,52,325.9599999999999
12845,268,27,354.09000000000003
12847,23,91,871.5399999999998
12849,32,51,1050.8899999999999
12851,97,50,135.17999999999995
12852,295,17,311.54999999999995
12853,135,78,1957.1
12854,79,110,1324.5000000000007
12855,373,3,38.1
12856,8,314,2179.9300000000007
12857,211,46,1106.4000000000003
12863,53,5,521.2
12864,139,3,147.12
12867,27,538,4036.819999999996
12868,186,107,1607.0600000000009
12871,85,11,380.64000000000004
12872,327,66,599.9699999999998
12873,283,4,374.0
12875,144,2,343.2300000000001
12877,4,154,1535.7700000000007
12878,237,47,854.9899999999999
12879,45,10,573.22
12881,276,7,298.0
12882,10,13,1463.0399999999995
12883,25,42,703.4700000000001
12884,89,7,309.05000000000007
12885,64,71,1175.2199999999996
12886,68,82,1378.4
12888,215,5,354.12
12890,25,82,380.46999999999997
12891,186,3,331.0
12893,31,34,188.14
12895,43,22,372.79999999999995
12897,205,4,216.5
12901,9,116,17654.539999999997
12902,265,10,138.68
12904,19,72,509.57999999999976
12906,12,63,2919.809999999999
12908,177,2,750.0
12909,40,91,2178.67
12910,24,75,3075.0400000000013
12912,3,24,1662.3
12913,5,50,2483.6299999999997
12915,149,22,363.65
12916,139,107,3006.1500000000005
12917,129,2,594.0
12919,9,50,1335.1899999999998
12920,18,28,164.23000000000002
12921,10,720,16587.09000000002
12922,162,28,405.38
12923,65,29,176.97
12924,89,30,933.7000000000003
12925,5,45,694.0499999999998
12928,36,84,2062.6999999999994
12929,312,8,117.85000000000001
12930,79,25,415.8
12931,22,82,42055.95999999999
12933,25,106,607.5299999999999
12935,3,129,2160.6999999999994
12936,18,62,1063.9000000000005
12937,16,120,1504.2700000000004
12938,26,9,114.14
12939,65,47,11581.8
12940,55,99,913.5400000000001
12942,132,75,683.9000000000001
12944,36,30,604.51
12945,289,23,462.95000000000005
12947,144,97,1603.9900000000002
12948,17,116,2064.95
12949,31,215,4167.220000000001
12950,3,23,1843.0
12951,9,63,1064.0700000000004
12952,6,79,1387.7900000000004
12953,10,17,329.84999999999997
12955,2,180,4757.159999999999
12956,307,19,108.07
12957,10,238,4017.5400000000027
12962,8,16,266.39000000000004
12963,9,95,1856.6299999999997
12965,90,109,771.9099999999996
12966,10,10,160.18
12967,359,19,1660.9
12968,113,5,135.95
12970,8,151,452.23999999999995
12971,4,305,11189.909999999996
12974,198,8,144.8
12976,212,22,738.6
12977,157,9,39.24
12980,158,20,7374.900000000001
12981,30,20,372.21999999999997
12982,243,28,390.53999999999996
12984,19,4,97.5
12985,1,76,1239.38
12987,74,28,558.7
12988,293,92,535.32
12989,4,64,6924.109999999996
12990,32,13,409.50000000000006
12991,24,31,503.76
12993,24,27,414.75999999999993
12994,5,61,974.42
12995,86,3,211.32
12997,23,59,1226.89
12999,197,28,455.8799999999999
13000,107,31,534.8500000000001
13001,5,339,9818.820000000012
13002,319,7,120.94999999999999
13003,106,6,149.05
13004,12,404,5655.91
13005,174,26,513.7
13006,57,4,81.57
13008,324,14,229.47000000000003
13011,373,3,50.550000000000004
13012,10,89,1661.8400000000008
13013,2,219,4810.9400000000005
13014,11,109,3466.2799999999997
13015,54,176,3346.2800000000016
13016,74,47,789.8899999999996
13017,8,1,204.0
13018,17,458,7277.699999999997
13021,5,131,2616.38
13023,65,40,689.9000000000001
13026,2,40,975.3599999999998
13027,114,26,6912.0
13028,23,45,661.32
13029,31,10,1247.5
13030,12,99,799.4800000000001
13032,53,71,1010.1799999999997
13033,358,11,190.54999999999998
13034,55,37,642.77
13035,74,27,921.8800000000002
13037,139,48,881.07
13038,81,28,908.46
13040,9,43,676.9900000000001
13043,274,13,516.4200000000001
13044,292,33,560.4700000000001
13045,100,18,305.28
13046,31,35,629.31
13047,32,172,3237.540000000001
13048,15,136,1835.9099999999994
13049,65,14,656.6800000000002
13050,15,403,5836.86
13052,213,18,348.15000000000003
13055,79,76,1214.41
13058,25,8,271.4
13059,250,8,183.4
13060,254,15,307.53000000000003
13061,73,10,248.61
13062,192,11,346.98
13064,13,69,1119.4900000000005
13065,374,14,205.85999999999999
13066,25,48,470.80000000000007
13067,83,15,115.46000000000002
13068,11,2,344.0
13069,1,425,4436.119999999994
13070,193,9,228.8
13072,267,7,177.14999999999998
13075,130,22,919.61
13077,2,112,729.2700000000001
13078,4,358,12627.94
13079,5,6,220.09999999999997
13080,180,6,58.08
13081,12,1024,28337.38000000005
13082,127,73,3613.6300000000006
13083,5,18,303.75
13085,158,22,416.08000000000004
13089,3,1818,58825.83000000013
13090,9,155,8910.82
13091,29,21,345.82
13092,71,25,477.83
13093,276,159,7832.469999999998
13094,22,24,1927.3200000000002
13095,71,6,74.4
13097,33,423,6010.419999999994
13098,2,572,28882.440000000013
13099,100,1,207.35999999999999
13101,235,8,101.18999999999998
13102,2,304,6424.090000000001
